"Date","Open","High","Low","Close","Prev. Close ","Change ","% Change"
"05-Feb-2020","       14.3800","       14.5250","       13.8175","       14.1725","       14.3800","       -0.2100","  -1.44"
"06-Feb-2020","       14.1725","       14.2425","       12.6450","       13.7800","       14.1725","       -0.3900","  -2.77"
"07-Feb-2020","       13.7800","       13.9925","       12.9750","       13.7475","       13.7800","       -0.0300","  -0.24"
"10-Feb-2020","       13.7475","       14.6000","       12.9650","       14.2100","       13.7475","        0.4600","   3.36"
"11-Feb-2020","       14.2100","       14.2100","       11.3750","       13.8800","       14.2100","       -0.3300","  -2.32"
"12-Feb-2020","       13.8800","       13.8800","       13.1475","       13.6225","       13.8800","       -0.2600","  -1.86"
"13-Feb-2020","       13.6225","       13.6725","       11.8000","       13.3700","       13.6225","       -0.2500","  -1.85"
"14-Feb-2020","       13.3700","       13.9875","       11.9025","       13.6150","       13.3700","        0.2500","   1.83"
"17-Feb-2020","       13.6150","       14.6175","       13.3800","       14.4150","       13.6150","        0.8000","   5.88"
"18-Feb-2020","       14.4150","       14.8200","       11.3750","       14.5100","       14.4150","        0.1000","   0.66"
"19-Feb-2020","       14.5100","       14.5100","       13.4825","       14.0225","       14.5100","       -0.4900","  -3.36"
"20-Feb-2020","       14.0225","       14.0275","       10.1650","       13.7000","       14.0225","       -0.3200","  -2.30"
"24-Feb-2020","       13.7000","       17.3750","       12.2950","       16.9975","       13.7000","        3.3000","  24.07"
"25-Feb-2020","       16.9975","       17.3175","       15.6200","       16.8975","       16.9975","       -0.1000","  -0.59"
"26-Feb-2020","       16.8975","       18.8650","       16.5025","       18.2600","       16.8975","        1.3600","   8.06"
"27-Feb-2020","       18.2600","       19.1550","       16.8275","       17.7650","       18.2600","       -0.5000","  -2.71"
"28-Feb-2020","       17.7650","       23.6975","       17.4825","       23.2350","       17.7650","        5.4700","  30.79"
"02-Mar-2020","       23.2350","       26.3425","       19.9200","       25.2025","       23.2350","        1.9700","   8.47"
"03-Mar-2020","       25.2025","       26.4900","       21.5425","       24.5425","       25.2025","       -0.6600","  -2.62"
"04-Mar-2020","       24.5425","       26.2875","       22.4250","       24.2250","       24.5425","       -0.3200","  -1.29"
"05-Mar-2020","       24.2250","       24.2250","       22.1250","       23.2475","       24.2250","       -0.9800","  -4.04"
"06-Mar-2020","       23.2475","       27.5500","       23.2475","       25.6425","       23.2475","        2.4000","  10.30"
"09-Mar-2020","       25.6425","       34.3550","       21.4250","       30.8000","       25.6425","        5.1600","  20.11"
"11-Mar-2020","       30.8000","       33.2375","       29.6500","       31.5550","       30.8000","        0.7600","   2.45"
"12-Mar-2020","       31.5550","       42.3275","       29.8100","       41.1625","       31.5550","        9.6100","  30.45"
"13-Mar-2020","       41.1625","       59.4825","       41.1625","       51.4725","       41.1625","       10.3100","  25.05"
"16-Mar-2020","       51.4725","       59.8650","       51.4725","       58.8750","       51.4725","        7.4000","  14.38"
"17-Mar-2020","       58.8750","       63.4400","       57.2500","       62.9250","       58.8750","        4.0500","   6.88"
"18-Mar-2020","       62.9250","       64.5775","       61.1525","       63.9550","       62.9250","        1.0300","   1.64"
"19-Mar-2020","       63.9550","       73.3425","       63.0950","       72.1975","       63.9550","        8.2400","  12.89"
"20-Mar-2020","       72.1975","       72.9650","       65.3800","       67.1000","       72.1975","       -5.1000","  -7.06"
"23-Mar-2020","       67.1000","       73.3675","       66.3175","       71.9850","       67.1000","        4.8900","   7.28"
"24-Mar-2020","       71.9850","       86.6350","       71.9850","       83.6075","       71.9850","       11.6200","  16.15"
"25-Mar-2020","       83.6075","       84.5975","       75.9725","       77.6250","       83.6075","       -5.9800","  -7.16"
"26-Mar-2020","       77.6250","       79.4050","       70.6750","       71.5325","       77.6250","       -6.0900","  -7.85"
"27-Mar-2020","       71.5325","       73.0300","       65.6325","       70.3850","       71.5325","       -1.1500","  -1.60"
